Date,High,low,Close,No.of Trades,Turn over
22-04-15,101.90,100.00,100.00,8,"203,707.60"
23-04-15,101.50,99.00,101.50,6,"1,167,883.20"
24-04-15,102.50,99.50,101.50,23,"1,828,682.00"
27-04-15,103.00,101.50,102.00,5,"30,693.20"
28-04-15,103.00,101.50,102.90,18,"7,337,100.00"
29-04-15,104.30,103.00,103.70,10,"1,540,160.80"
30-04-15,105.00,104.20,104.90,35,"6,896,680.00"
05-05-15,107.00,104.50,106.90,44,"8,337,276.80"
06-05-15,106.10,105.00,105.90,22,"1,594,347.00"
07-05-15,106.00,105.00,105.00,12,"986,025.00"
08-05-15,106.00,105.00,105.10,13,"768,529.00"
11-05-15,105.00,103.70,104.10,4,"197,820.00"
12-05-15,105.00,104.10,104.90,15,"1,833,297.90"
13-05-15,105.00,103.50,104.00,13,"930,018.50"
14-05-15,103.00,101.40,102.00,33,"8,791,036.80"
15-05-15,101.10,100.00,100.50,84,"8,829,658.20"
18-05-15,100.50,100.00,100.10,8,"250,343.50"
19-05-15,101.00,100.00,100.00,52,"4,867,688.40"
20-05-15,100.90,99.50,100.00,18,"1,464,835.90"
21-05-15,100.50,99.10,99.40,49,"19,704,576.90"
22-05-15,100.90,99.40,100.00,22,"588,305.40"
25-05-15,100.90,99.80,99.80,26,"2,897,132.30"
26-05-15,100.50,99.70,99.90,8,"112,439.00"
27-05-15,100.00,99.00,99.80,21,"4,550,027.80"
28-05-15,99.90,99.10,99.40,20,"1,144,997.90"
29-05-15,99.90,99.00,99.00,9,"413,475.00"
01-06-15,99.10,99.00,99.00,12,"1,067,141.00"
03-06-15,98.10,98.00,98.00,22,"559,351.20"
04-06-15,98.90,97.00,98.00,10,"332,425.40"
05-06-15,98.00,97.00,97.40,21,"978,014.50"
08-06-15,97.50,96.50,96.60,20,"374,130.50"
09-06-15,96.50,96.00,96.10,28,"506,170.00"
10-06-15,97.40,95.60,95.90,12,"78,785.30"
11-06-15,97.40,95.60,96.00,18,"327,335.00"
12-06-15,97.50,95.80,96.00,9,"288,778.30"
15-06-15,97.80,96.50,97.60,19,"245,181,678.90"
16-06-15,97.80,96.50,97.60,25,"985,169.30"
17-06-15,98.30,97.60,97.90,31,"62,707,673.30"
18-06-15,98.50,97.00,98.00,21,"13,038,244.10"
19-06-15,99.50,97.60,97.70,8,"40,552.90"
22-06-15,98.50,98.00,98.00,19,"13,813,835.10"
23-06-15,97.80,97.80,98.00,2,"2,934.00"
24-06-15,98.00,97.80,97.90,13,"715,047.80"
25-06-15,97.90,97.50,97.80,16,"1,151,430.20"
26-06-15,97.50,97.50,97.50,7,"648,375.00"
29-06-15,98.10,97.50,98.00,23,"928,463.60"
30-06-15,98.00,97.20,97.20,8,"150,108.70"
02-07-15,97.20,97.20,97.20,1,972.00
03-07-15,97.20,97.10,97.10,12,"681,286.10"
06-07-15,98.00,97.10,97.50,17,"964,160.00"
07-07-15,98.00,97.50,97.70,17,"10,947,647.00"
08-07-15,97.20,96.50,96.50,5,"159,307.50"
09-07-15,97.90,96.50,97.00,15,"2,275,912.40"
10-07-15,97.90,97.00,97.80,10,"1,081,792.60"
13-07-15,99.90,98.00,98.00,30,"2,573,793.60"
14-07-15,100.00,98.90,99.00,39,"17,137,618.10"
15-07-15,101.00,100.00,100.10,62,"60,076,928.70"
16-07-15,102.00,100.00,100.70,42,"6,966,615.50"
17-07-15,103.40,101.00,102.20,37,"6,887,860.10"
20-07-15,103.20,101.00,101.10,22,"700,309.60"
21-07-15,103.00,101.00,101.20,47,"15,832,401.50"
22-07-15,105.00,102.00,103.30,58,"8,691,301.30"
23-07-15,105.70,103.00,105.00,54,"7,463,080.30"
24-07-15,107.40,104.00,107.00,86,"62,155,807.70"
27-07-15,106.80,103.00,106.00,22,"1,020,908.70"
28-07-15,106.00,104.00,105.00,13,"176,755.00"
29-07-15,106.70,106.40,106.60,11,"347,175.00"
30-07-15,106.70,105.50,105.50,47,"4,128,462.70"
03-08-15,106.70,106.00,106.00,22,"2,410,901.30"
04-08-15,106.00,105.60,105.60,18,"2,849,168.00"
05-08-15,107.30,106.00,107.10,53,"12,152,146.30"
06-08-15,107.90,106.70,106.90,19,"763,471.80"
07-08-15,106.90,105.50,106.40,27,"1,761,020.80"
10-08-15,105.10,104.90,105.00,10,"1,863,917.00"
11-08-15,106.50,104.50,106.00,44,"3,622,662.00"
12-08-15,106.40,106.00,106.00,36,"4,938,123.40"
13-08-15,106.00,105.00,105.60,10,"308,739.00"
14-08-15,106.00,104.00,105.00,25,"1,629,350.60"
17-08-15,106.00,104.90,105.50,21,"1,004,220.00"
18-08-15,106.90,104.00,104.60,17,"209,286,994.60"
19-08-15,106.90,105.00,105.00,36,"513,704,324.50"
20-08-15,105.00,104.50,104.60,26,"1,005,675.20"
21-08-15,105.00,104.00,104.10,20,"865,323.00"
24-08-15,103.00,101.10,101.60,17,"344,771.90"
25-08-15,101.50,99.00,99.50,58,"7,733,698.50"
26-08-15,100.00,97.80,98.00,129,"7,507,257.20"
27-08-15,99.90,96.90,97.00,95,"3,229,833.30"
28-08-15,101.40,99.90,101.00,14,"1,692,837.40"
31-08-15,101.50,100.00,100.20,22,"762,736.90"
01-09-15,101.00,101.00,100.20,2,202.00
02-09-15,101.00,99.00,99.30,16,"478,143.60"
03-09-15,101.00,98.50,99.00,7,"713,835.50"
04-09-15,100.00,99.70,99.80,8,"998,795.00"
07-09-15,99.60,98.10,98.30,19,"287,609.40"
08-09-15,97.20,96.60,97.00,24,"332,886.00"
09-09-15,99.00,97.00,97.00,23,"76,629,700.00"
10-09-15,100.00,98.00,98.60,4,"50,285.00"
11-09-15,100.70,99.00,99.00,2,"19,900.70"
14-09-15,100.70,99.00,99.90,24,"1,058,195.50"
15-09-15,100.00,100.00,100.00,9,"400,000.00"
16-09-15,100.50,100.00,100.00,8,"285,350.00"
17-09-15,99.90,99.00,99.80,5,"50,066.70"
18-09-15,99.00,99.00,99.00,4,"18,711.00"
21-09-15,98.60,98.40,98.50,10,"105,390.50"
22-09-15,98.50,97.00,98.00,18,"274,538.10"
23-09-15,98.50,98.00,98.00,13,"8,348,579.70"
25-09-15,98.80,97.60,97.80,15,"150,077,470.80"
28-09-15,99.00,97.90,98.00,7,"114,652.00"
29-09-15,98.50,97.50,97.50,10,"181,965.00"
30-09-15,98.00,97.20,97.20,12,"429,242.40"
01-10-15,98.00,97.50,98.00,33,"268,389,440.60"
02-10-15,98.00,97.30,97.70,11,"197,850.00"
05-10-15,98.00,97.00,97.10,20,"1,426,538.10"
06-10-15,97.50,96.20,97.00,15,"347,227.70"
07-10-15,97.90,97.50,97.80,9,"138,968.50"
08-10-15,97.90,96.00,97.60,21,"1,140,779.90"
09-10-15,98.50,96.50,96.80,29,"819,493.70"
12-10-15,98.00,97.00,97.00,8,"72,583.00"
13-10-15,97.00,95.00,96.00,30,"1,352,341.40"
14-10-15,95.90,95.20,95.70,20,"728,205.50"
